c0;c1;c2;c3
---Session;start;old0;
29811;12:00:00;15/12/2019;
33069;12:00:00;15/12/2019;
30105;12:00:00;15/12/2019;
33168;12:00:00;15/12/2019;
33089;12:00:00;15/12/2019;
23561;12:00:00;15/12/2019;
39131;12:00:00;15/12/2019;
36350;12:00:00;15/12/2019;
30767;12:00:00;15/12/2019;
34310;12:00:00;15/12/2019;
30666;12:00:00;15/12/2019;
28054;12:00:00;15/12/2019;
34071;12:00:00;15/12/2019;
39602;12:00:00;15/12/2019;
38904;12:00:00;15/12/2019;
---Session;end;old1;
---Session;start;old2;
29347;12:00:00;21/12/2019;
33725;12:00:00;21/12/2019;
33740;12:00:00;21/12/2019;
36305;12:00:00;21/12/2019;
31234;12:00:00;21/12/2019;
18052;12:00:00;21/12/2019;
29058;12:00:00;21/12/2019;
62222;12:00:00;21/12/2019;
31976;12:00:00;21/12/2019;
32367;12:00:00;21/12/2019;
43312;12:00:00;21/12/2019;
33320;12:00:00;21/12/2019;
28223;12:00:00;21/12/2019;
34218;12:00:00;21/12/2019;
36053;12:00:00;21/12/2019;
28397;12:00:00;21/12/2019;
35502;12:00:00;21/12/2019;
34822;12:00:00;21/12/2019;
31730;12:00:00;21/12/2019;
29830;12:00:00;21/12/2019;
26943;12:00:00;21/12/2019;
31413;12:00:00;21/12/2019;
30344;12:00:00;21/12/2019;
29216;12:00:00;21/12/2019;
38827;12:00:00;21/12/2019;
26295;12:00:00;21/12/2019;
28920;12:00:00;21/12/2019;
40312;12:00:00;21/12/2019;
31417;12:00:00;21/12/2019;
32897;12:00:00;21/12/2019;
38082;12:00:00;21/12/2019;
24381;12:00:00;21/12/2019;
28831;12:00:00;21/12/2019;
33080;12:00:00;21/12/2019;
34499;12:00:00;21/12/2019;
27320;12:00:00;21/12/2019;
34690;12:00:00;21/12/2019;
28490;12:00:00;21/12/2019;
33753;12:00:00;21/12/2019;
25743;12:00:00;21/12/2019;
32052;12:00:00;21/12/2019;
31288;12:00:00;21/12/2019;
32583;12:00:00;21/12/2019;
30380;12:00:00;21/12/2019;
26804;12:00:00;21/12/2019;
28865;12:00:00;21/12/2019;
31276;12:00:00;21/12/2019;
36402;12:00:00;21/12/2019;
29025;12:00:00;21/12/2019;
35698;12:00:00;21/12/2019;
32977;12:00:00;21/12/2019;
38346;12:00:00;21/12/2019;
27211;12:00:00;21/12/2019;
29127;12:00:00;21/12/2019;
30917;12:00:00;21/12/2019;
35598;12:00:00;21/12/2019;
29158;12:00:00;21/12/2019;
62222;12:00:00;21/12/2019;
24879;12:00:00;21/12/2019;
29621;12:00:00;21/12/2019;
31400;12:00:00;21/12/2019;
62222;12:00:00;21/12/2019;
35479;12:00:00;21/12/2019;
24688;12:00:00;21/12/2019;
29249;12:00:00;21/12/2019;
30876;12:00:00;21/12/2019;
30867;12:00:00;21/12/2019;
41911;12:00:00;21/12/2019;
36702;12:00:00;21/12/2019;
28516;12:00:00;21/12/2019;
28196;12:00:00;21/12/2019;
25308;12:00:00;21/12/2019;
28832;12:00:00;21/12/2019;
33853;12:00:00;21/12/2019;
25844;12:00:00;21/12/2019;
26284;12:00:00;21/12/2019;
29821;12:00:00;21/12/2019;
26141;12:00:00;21/12/2019;
29358;12:00:00;21/12/2019;
30339;12:00:00;21/12/2019;
26144;12:00:00;21/12/2019;
39649;12:00:00;21/12/2019;
38810;12:00:00;21/12/2019;
34576;12:00:00;21/12/2019;
26299;12:00:00;21/12/2019;
21091;12:00:00;21/12/2019;
30869;12:00:00;21/12/2019;
32552;12:00:00;21/12/2019;
33545;12:00:00;21/12/2019;
34517;12:00:00;21/12/2019;
31584;12:00:00;21/12/2019;
34177;12:00:00;21/12/2019;
36282;12:00:00;21/12/2019;
31548;12:00:00;21/12/2019;
27438;12:00:00;21/12/2019;
25988;12:00:00;21/12/2019;
29293;12:00:00;21/12/2019;
26820;12:00:00;21/12/2019;
29238;12:00:00;21/12/2019;
24821;12:00:00;21/12/2019;
---Session;end;old2;
---Session;start;old3;
27030;12:00:00;25/12/2019;
31630;12:00:00;25/12/2019;
27240;12:00:00;25/12/2019;
27160;12:00:00;25/12/2019;
34190;12:00:00;25/12/2019;
26520;12:00:00;25/12/2019;
31880;12:00:00;25/12/2019;
28100;12:00:00;25/12/2019;
35910;12:00:00;25/12/2019;
34750;12:00:00;25/12/2019;
26310;12:00:00;25/12/2019;
37410;12:00:00;25/12/2019;
33160;12:00:00;25/12/2019;
27040;12:00:00;25/12/2019;
35180;12:00:00;25/12/2019;
29630;12:00:00;25/12/2019;
26080;12:00:00;25/12/2019;
