Solvetime;Time of day;Date;Scramble;Penalty
27565;00:05:34;20/03/2020;D2 B2 F' L2 D F U2 F2 L' U' B F U2 F2 L2 U L' B2 U' R2;
22396;00:07:33;20/03/2020;L' B' D' B' R U2 D' B2 R2 D2 L' U' F R2 U' L R B2 D2 F';
28953;00:10:09;20/03/2020;D' R2 B2 D F2 L B' R' L D U F D2 L' F' B2 D2 F2 L2 D;
29794;00:11:15;20/03/2020;U' D2 R F2 L2 F2 B' R F L F2 R2 B L2 U D' R' L2 B' U';
---Session;end;first_pair_inspection2;;
---Session;start;first_pair_inspection3;True;
23977;17:43:30;20/03/2020;B2 D R L B F2 L2 D' U2 R' D2 U' L R2 D2 R2 U' D F2 L';
22591;17:46:03;20/03/2020;B U F' B2 U L2 F' D' F' L' B' F' L' F B L F2 B' R B';
20734;17:48:37;20/03/2020;R2 U2 B2 F' U' R' D2 L U2 F' D2 L B R B2 D' F2 L' D L';
28346;17:50:16;20/03/2020;F2 R' L' U' D' B' R' B' F L2 R F U B D' F2 L D2 U F;
19997;17:51:51;20/03/2020;F' U2 B' R2 D2 U B' U F' R' B2 F D L F2 U L F' L' U2;
22416;17:55:37;20/03/2020;U F2 D F2 L' U2 R2 B U' B' F' L F B D F2 L' F' B D2;
32061;17:56:16;20/03/2020;U2 B' F2 D' L B' F2 U D F2 R2 D2 F2 B R D U R' L' D;
25147;21:04:57;20/03/2020;L' B' U' F U L' B2 R' L' U D F' L' D2 F2 L2 U F' D2 F2;
32273;21:05:40;20/03/2020;D2 R2 U2 B' U R2 B' U2 R' F' B R' D F' B2 R U B R2 L';
34270;22:32:30;20/03/2020;F' U2 D R2 B L2 D' L R D L2 D' L D2 B' R F U L D;
25869;22:36:24;20/03/2020;B' L2 D' L' F2 D2 R D2 L B' L' F2 D' F R2 L D B' F D';
23462;22:39:44;20/03/2020;B2 U' L' F R' D U F' L2 U2 L2 D' R2 U' B' D' F2 U F2 U2;
19652;22:43:20;20/03/2020;B2 U F2 U' L R' B D2 U' B R' B2 D R L2 F D' U R' U';
29837;22:44:42;20/03/2020;B U2 R' U R2 D F B D' L2 F2 R' B2 R L' D2 L' D2 R2 L;
30915;22:46:29;20/03/2020;B2 R B D2 B' D R' F2 R' F L R' U' D' L' B F2 R' B2 D;
26436;22:47:44;20/03/2020;D' F' U F2 D' F R2 D2 R2 F' R U F L F2 U' D' B2 L2 B';
25047;22:49:33;20/03/2020;D2 R U R U2 R2 F R2 B2 F2 D' F2 D' B R2 L B F' R' F';
23310;22:52:27;20/03/2020;U' R B' U' B F L2 F' D' L2 U L' U2 B F2 R F' R' B' D2;
33579;22:53:07;20/03/2020;U' D L' R2 F2 R2 D B D2 U2 F R' U' D F2 D2 U' R2 L B;
